,uni_par_id,strain,movie_name,replicate,id_colony,id_par,frames,generation,age,cdg_dh,cdg_dl,cdg_norm_dh,cdg_norm_dl,len_dh,len_dl,idc_dh,idc_dl,rel_cdg_hl
1,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,44,3.0,1,700.1990950226244,696.5945945945946,1.015135725286018,1.0099099870891075,29.200000762939453,20.7889404296875,114,310,0.9948521778253465
2,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,45,3.0,2,685.6755555555555,658.2781456953643,0.9940797658090257,0.9543595066326197,29.832595825195312,22.0,114,310,0.9600431871339019
3,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,46,3.0,3,685.5526315789474,502.9938271604938,0.9939015528963896,0.7292311675045217,31.11269760131836,23.0,114,310,0.7337056324939067
4,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,47,3.0,4,718.8412017167382,316.52694610778445,1.0421627075176603,0.458894924734674,31.819805145263672,24.0,114,310,0.44032944320922907
5,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,48,3.0,5,719.9113924050633,289.08383233532936,1.0437142502264554,0.4191084048697665,32.64940643310547,24.0,114,310,0.4015547404654409
6,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,49,3.0,6,736.9547325102881,587.9595375722544,1.0684233701639134,0.852412886356211,34.05781173706055,25.314424514770508,114,310,0.7978231384300749
7,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,50,3.0,7,744.1746031746031,713.0989010989011,1.0788906054051328,1.0338376260602071,35.21014404296875,26.0,114,310,0.958241383214188
8,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,51,3.0,8,771.1821862348178,701.1940298507462,1.1180457008814666,1.0165781634375914,34.64822769165039,27.51181411743164,114,310,0.9092456262173556
9,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,52,3.0,9,785.0522088353414,703.2028985507246,1.1381542036664654,1.0194905842037036,37.00265884399414,27.778772354125977,114,310,0.8957402968064458
10,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,53,3.0,10,788.208,709.2222222222222,1.142729411454592,1.0282172885716943,37.3626708984375,28.56706047058105,114,310,0.8997906925865028
11,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,54,3.0,11,787.5137254901961,723.607476635514,1.1417228650836138,1.0490727649298706,39.38371276855469,29.206029891967773,114,310,0.9188506221718193
12,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,55,3.0,12,805.723076923077,741.6296296296297,1.1681224467243303,1.075200949728947,40.49311447143555,30.40559196472168,114,310,0.9204522631544705
13,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,56,3.0,13,800.6420664206642,745.6538461538462,1.1607560914716344,1.0810351845759465,42.71191787719727,32.526912689208984,114,310,0.931319846192135
14,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,57,3.0,14,786.0925266903914,773.3760683760684,1.1396624372929027,1.1212263507201792,45.48542022705078,33.54566192626953,114,310,0.9838232041616501
15,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,58,3.0,15,779.6210526315789,792.8220338983051,1.1302802136381436,1.1494187526450417,48.2589225769043,35.2230339050293,114,310,1.0169325613029137
0,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,39,3.0,0,725.960396039604,721.6778523489933,1.0,0.9941008576859376,26.310686111450195,24.149534225463867,125,276,0.9941008576859375
1,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,40,3.0,1,716.2328767123288,697.6490066225166,0.9866004820919397,0.961001468438861,27.820484161376957,25.58672332763672,125,276,0.9740533132532028
2,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,41,3.0,2,708.4598214285714,658.2222222222222,0.9758932102818487,0.9066916402231859,28.31515884399414,26.56313133239746,125,276,0.9290889932119963
3,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,42,3.0,3,719.1054852320675,426.4347826086956,0.9905574589951013,0.5874077772493693,29.298303604125977,27.872745513916016,125,276,0.5930072727384048
4,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,43,3.0,4,726.3715415019763,327.92024539877303,1.0005663469586155,0.45170541972772255,30.59440040588379,28.35055160522461,125,276,0.45144974253906783
5,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,44,3.0,5,739.4285714285714,459.6823529411765,1.0185522178102848,0.6332058269967925,31.72120475769043,29.83188247680664,125,276,0.6216724247658878
6,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,45,3.0,6,756.2150943396226,722.2248520710059,1.041675411585907,0.9948543419324567,32.447608947753906,29.60110282897949,125,276,0.9550521504753893
7,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,46,3.0,7,778.6886446886447,702.3448275862069,1.0726324038290431,0.9674698942501144,32.79648971557617,30.589868545532227,125,276,0.9019584815790354
8,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,47,3.0,8,796.1131386861314,726.7093023255813,1.0966343935967275,1.0010316076332304,32.64940643310547,32.5575065612793,125,276,0.9128216418145153
9,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,48,3.0,9,793.8904593639576,740.875,1.0935726848116487,1.0205446523553638,34.40876770019531,32.75114440917969,125,276,0.9332206871380819
10,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,49,3.0,10,809.1355932203389,750.187134502924,1.1145726373428744,1.0333719836446813,35.778167724609375,33.72394561767578,125,276,0.9271463779231346
11,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,50,3.0,11,812.615894039735,767.606936416185,1.1193667016449802,1.0573675101338573,34.973602294921875,34.46513748168945,125,276,0.9446122602896699
12,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,51,3.0,12,832.1744966442953,766.2923976608187,1.1463083953121005,1.0555567519126958,37.41791915893555,35.47574996948242,125,276,0.9208313890306142
13,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,52,3.0,13,869.4115646258504,781.7215909090909,1.197601920667888,1.0768102436078963,39.67499923706055,35.899322509765625,125,276,0.8991387079668112
14,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,53,3.0,14,870.6825938566553,781.3513513513514,1.1993527451450068,1.0763002439443343,40.45866012573242,37.84501647949219,125,276,0.8974009091997411
15,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,54,3.0,15,857.2222222222222,784.9447513812155,1.1808112768943078,1.081250100781522,41.770751953125,38.6348762512207,125,276,0.9156840910474323
16,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,55,3.0,16,858.7022653721683,797.1822916666666,1.1828500150376284,1.098107136443814,43.83432388305664,39.049110412597656,125,276,0.9283570380720512
17,AKS1095-0-124,AKS1095,AKS1095_TL_01_07,0,11,124,56,3.0,17,841.7770897832818,785.3908629441624,1.1595358291933042,1.0818646130405662,46.09420776367188,40.25815200805664,125,276,0.9330152512779409
0,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,43,3.0,0,659.7351598173516,727.6569767441861,1.0,1.1029531561507784,29.516096115112305,25.223705291748047,129,312,1.1029531561507784
1,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,44,3.0,1,681.2882096069869,727.3913043478261,1.0326692453311148,1.1025504606260568,29.96331024169922,25.96091651916504,129,312,1.0676704720421253
2,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,45,3.0,2,670.2887931034483,735.0106382978723,1.0159967725367531,1.1140995403388245,31.34543228149414,27.65237808227539,129,312,1.0965581490550675
3,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,46,3.0,3,668.8275862068965,549.3888888888889,1.0137819339385552,0.8327415641164068,31.780336380004883,28.434694290161133,129,312,0.82142079695699
4,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,47,3.0,4,705.2203389830509,337.61386138613864,1.0689446037380999,0.5117415016650126,33.10572052001953,29.144670486450195,129,312,0.478735287006878
5,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,48,3.0,5,689.625,609.4526315789474,1.0453058166415194,0.9237837676374183,34.35762023925781,30.0,129,312,0.8837449796323327
6,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,49,3.0,6,692.81640625,744.6,1.0501432217767612,1.1286347088218602,34.98233795166016,31.0,129,312,1.0747436020320138
7,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,50,3.0,7,702.2310606060606,728.0143540669857,1.0644135758968403,1.1034948543117473,35.800437927246094,32.0,129,312,1.0367162532495682
8,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,51,3.0,8,694.5591397849462,740.4,1.0527847871216014,1.1222685178776595,37.20188903808594,33.972835540771484,129,312,1.0659999380747438
9,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,52,3.0,9,711.5035714285714,742.6854460093897,1.078468474570238,1.1257327049463348,37.79753875732422,34.0,129,312,1.0438253240503217
10,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,53,3.0,10,717.3724137931034,747.0550458715596,1.0873642295973869,1.132355968534984,39.05088806152344,34.05378341674805,129,312,1.041376879717899
11,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,54,3.0,11,730.0166666666667,768.704347826087,1.1065298791544969,1.1651711090233596,41.0998420715332,36.012752532958984,129,312,1.05299561356054
12,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,55,3.0,12,731.059748427673,786.3173913043478,1.108110940502349,1.1918682513783874,41.85978698730469,37.0,129,312,1.075585672710774
13,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,56,3.0,13,734.3742331288344,794.793991416309,1.1131349029997835,1.2047167406332393,43.18317413330078,38.0408821105957,129,312,1.0822737993271545
14,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,57,3.0,14,746.202380952381,801.8247863247864,1.1310635333714334,1.2153737365563062,44.58173751831055,38.16337585449219,129,312,1.074540643118043
15,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,58,3.0,15,737.6504297994269,810.1063829787234,1.118100830041628,1.2279266474186434,46.7127571105957,40.2808723449707,129,312,1.098225324967272
16,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,59,3.0,16,726.6304347826087,814.6386554621848,1.1013971651651508,1.2347964836188485,49.57666015625,41.56280899047852,129,312,1.1211182692972474
17,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,60,3.0,17,733.8989361702128,797.5372549019608,1.112414467001264,1.208874869004647,51.08776092529297,43.09508514404297,129,312,1.086712646108794
18,AKS1095-0-128,AKS1095,AKS1095_TL_01_07,0,20,128,61,3.0,18,716.7571059431525,795.1538461538462,1.086431570725422,1.205262193959748,53.413330078125,45.57451629638672,129,312,1.1093769975360543
0,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,20,2.0,0,114.90434782608696,113.09756097560977,1.0,0.9842757312089543,18.0,30.0,172,24,0.9842757312089543
1,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,21,2.0,1,113.81102362204724,112.45360824742268,0.9904849187630871,0.9786714808879678,19.0,29.199996948242188,172,24,0.9880730764786689
2,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,22,2.0,2,116.3846153846154,113.09313725490196,1.012882607025183,0.9842372320503803,20.0,29.977399826049805,172,24,0.9717189585682255
3,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,23,2.0,3,114.94927536231884,114.125,1.000390999445033,0.993217420917209,20.34614372253418,31.395307540893555,172,24,0.9928292252411272
4,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,24,2.0,4,115.51851851851852,114.0958904109589,1.0053450605138208,0.9929640833404172,20.98442649841309,32.649635314941406,172,24,0.9876848480589581
5,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,25,2.0,5,115.45774647887325,113.91666666666669,1.0048161680846392,0.9914043186519349,21.428245544433597,32.64910125732422,172,24,0.9866524346853717
6,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,26,2.0,6,115.23270440251572,113.22553191489362,1.0028576514521952,0.9853894483284975,23.084627151489254,34.81385040283203,172,24,0.9825815726704555
7,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,27,2.0,7,115.72955974842768,114.43333333333334,1.0071817293074907,0.9959008122698149,22.80788993835449,35.457801818847656,172,24,0.9887995217651214
8,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,28,2.0,8,117.62874251497006,113.93548387096774,1.0237101096731918,0.991568082727508,24.149534225463867,35.45513153076172,172,24,0.9686024132789459
9,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,29,2.0,9,118.7183908045977,114.88030888030887,1.0331931998281167,0.9997907916781837,24.584747314453125,36.79520034790039,172,24,0.9676707046121772
10,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,30,2.0,10,117.32620320855617,115.35315985130111,1.0210771431045829,1.0039059620780708,25.93838882446289,38.27507400512695,172,24,0.9831832676478262
11,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,31,2.0,11,118.645,116.8384879725086,1.032554487664598,1.0168326106280072,26.925277709960938,40.359188079833984,172,24,0.9847738039741127
12,AKS1095-0-23,AKS1095,AKS1095_TL_01_07,0,5,23,32,2.0,12,120.5,117.44932432432432,1.0486983502345997,1.022148652739314,27.253068923950195,41.03594970703125,172,24,0.9746831894134799
